순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
81,김지수,넥센,2루수,30,9,110 1/3,0,0,15,36,4,1.000,0,0,0,-
82,최정민,KIA,2루수,29,12,118,2,0,29,36,8,0.970,0,0,0,-
82,양석환,LG,1루수,29,21,187 1/3,3,0,150,16,21,0.982,0,0,0,-
82,정현,KT,2루수,29,10,107,1,0,27,42,8,0.986,0,0,0,-
85,장영석,넥센,3루수,28,20,161,1,0,12,29,2,0.976,0,0,0,-
86,황윤호,KIA,3루수,27,0,42 2/3,0,0,1,10,1,1.000,0,0,0,-
86,류지혁,두산,2루수,27,10,118,0,0,19,47,8,1.000,0,0,0,-
86,손주인,삼성,3루수,27,13,154,0,0,14,29,3,1.000,0,0,0,-
86,박기혁,KT,2루수,27,12,131 2/3,1,0,43,47,12,0.989,0,0,0,-
90,정성훈,KIA,3루수,26,9,95,3,0,5,20,1,0.893,0,0,0,-
90,류지혁,두산,3루수,26,15,129 2/3,0,0,10,23,1,1.000,0,0,0,-
90,김동한,롯데,3루수,26,15,139,3,0,13,25,2,0.927,0,0,0,-
90,박석민,NC,3루수,26,24,189,4,0,8,41,8,0.925,0,0,0,-
90,윤진호,LG,유격수,26,0,51,1,0,11,12,1,0.958,0,0,0,-
90,김회성,한화,1루수,26,7,91,0,0,74,7,3,1.000,0,0,0,-
90,심우준,KT,3루수,26,12,128,0,0,10,33,4,1.000,0,0,0,-
97,백창수,한화,1루수,25,13,140,2,0,125,13,15,0.986,0,0,0,-
97,최영진,삼성,1루수,25,13,134,1,0,122,5,13,0.992,0,0,0,-
99,신본기,롯데,2루수,23,10,102 2/3,1,0,28,32,8,0.984,0,0,0,-
99,지석훈,NC,3루수,23,0,44 1/3,1,0,8,8,0,0.941,0,0,0,-
99,박지규,LG,2루수,23,14,128 1/3,2,0,16,47,5,0.969,0,0,0,-
99,송성문,넥센,3루수,23,18,173 1/3,2,0,17,36,4,0.964,0,0,0,-
99,정은원,한화,유격수,23,4,57,1,0,12,18,4,0.968,0,0,0,-
104,서동욱,KIA,1루수,22,5,69 1/3,0,0,58,4,3,1.000,0,0,0,-
104,황윤호,KIA,2루수,22,4,61,2,0,14,20,6,0.944,0,0,0,-
104,이상호,NC,3루수,22,6,81 1/3,0,0,7,15,2,1.000,0,0,0,-
104,최항,SK,3루수,22,11,94 2/3,1,0,9,17,1,0.963,0,0,0,-
108,최주환,두산,2루수,20,16,123,2,0,28,42,12,0.972,0,0,0,-
108,최영진,삼성,3루수,20,12,119 1/3,2,0,9,16,3,0.926,0,0,0,-
108,정현,KT,유격수,20,14,116 1/3,6,0,18,31,5,0.891,0,0,0,-
111,류지혁,두산,1루수,19,2,36 1/3,0,0,33,0,6,1.000,0,0,0,-
111,지석훈,NC,2루수,19,8,83 1/3,2,0,22,24,5,0.958,0,0,0,-
111,김재율,LG,1루수,19,12,83,0,0,77,5,6,1.000,0,0,0,-
111,김규민,넥센,1루수,19,14,112 1/3,3,0,108,2,16,0.973,0,0,0,-
111,송광민,한화,1루수,19,18,154,2,0,146,14,10,0.988,0,0,0,-
116,이병휘,두산,2루수,18,1,37,0,0,11,5,2,1.000,0,0,0,-
116,김태균,한화,1루수,18,18,145,2,0,127,10,13,0.986,0,0,0,-
118,오선진,한화,2루수,17,10,79 2/3,1,0,10,27,5,0.974,0,0,0,-
118,정현,KT,3루수,17,4,48 1/3,1,0,6,6,1,0.923,0,0,0,-
120,최원준,KIA,1루수,16,7,70 2/3,1,0,61,7,3,0.986,0,0,0,-
120,나주환,SK,1루수,16,6,75,0,0,55,6,8,1.000,0,0,0,-
120,황재균,KT,1루수,16,9,92,0,0,101,8,9,1.000,0,0,0,-
123,최주환,두산,1루수,15,10,87,0,0,89,2,10,1.000,0,0,0,-
123,김동한,롯데,2루수,15,3,48,0,0,6,21,3,1.000,0,0,0,-
123,전병우,롯데,3루수,15,10,96,0,0,10,12,1,1.000,0,0,0,-
123,강승호,SK,3루수,15,4,60,2,0,2,8,0,0.833,0,0,0,-
127,나주환,SK,2루수,14,9,88,1,0,19,35,11,0.982,0,0,0,-
127,조동찬,삼성,1루수,14,6,67,0,0,61,3,6,1.000,0,0,0,-
129,안치홍,KIA,1루수,13,8,72,0,0,56,3,6,1.000,0,0,0,-
129,홍재호,KIA,3루수,13,4,38 2/3,0,0,5,3,1,1.000,0,0,0,-
129,서상우,LG,1루수,13,9,64,1,0,63,4,3,0.985,0,0,0,-
129,김태연,한화,3루수,13,4,50,2,0,1,4,0,0.714,0,0,0,-
133,이원재,NC,1루수,12,5,52 2/3,1,0,41,6,5,0.979,0,0,0,-
133,로맥,SK,3루수,12,12,83,3,0,9,20,2,0.906,0,0,0,-
133,김하성,넥센,3루수,12,2,32,0,0,0,8,1,1.000,0,0,0,-
133,김성훈,삼성,3루수,12,1,33 1/3,0,0,6,10,3,1.000,0,0,0,-
137,최원준,KIA,2루수,11,5,45 2/3,0,0,15,17,7,1.000,0,0,0,-
137,황경태,두산,3루수,11,1,24 1/3,1,0,1,4,0,0.833,0,0,0,-
137,김찬형,NC,3루수,11,5,56 2/3,0,0,3,18,1,1.000,0,0,0,-
137,정은원,한화,3루수,11,7,61,1,0,9,8,2,0.944,0,0,0,-
141,양종민,두산,2루수,10,1,19,0,0,2,4,3,1.000,0,0,0,-
141,전병우,롯데,2루수,10,3,37 1/3,1,0,12,16,3,0.966,0,0,0,-
141,황진수,롯데,3루수,10,3,43,2,0,3,9,1,0.857,0,0,0,-
141,김찬형,NC,2루수,10,3,43,0,0,11,17,3,1.000,0,0,0,-
141,도태훈,NC,2루수,10,4,40 2/3,0,0,13,16,4,1.000,0,0,0,-
141,최승준,SK,1루수,10,6,50 2/3,2,0,47,2,7,0.961,0,0,0,-
141,김지수,넥센,3루수,10,0,20,1,0,2,2,1,0.800,0,0,0,-
148,유민상,KIA,1루수,9,2,18,0,0,10,2,1,1.000,0,0,0,-
148,신성현,두산,1루수,9,6,48 1/3,1,0,44,5,7,0.980,0,0,0,-
148,도태훈,NC,3루수,9,2,32,0,0,6,7,1,1.000,0,0,0,-
1,김하성,넥센,유격수,138,133,1163,18,0,207,422,71,0.972,0,0,0,-
2,김선빈,KIA,유격수,134,122,1056,14,0,169,346,80,0.974,0,0,0,-
3,안치홍,KIA,2루수,131,126,1082 1/3,13,0,291,359,98,0.980,0,0,0,-
4,허경민,두산,3루수,130,104,952 1/3,5,0,100,202,18,0.984,0,0,0,-
5,김성현,SK,2루수,128,106,959 1/3,6,0,229,340,77,0.990,0,0,0,-
6,김민성,넥센,3루수,125,119,1028,6,0,110,242,32,0.983,0,0,0,-
7,손시헌,NC,유격수,123,107,849 2/3,10,0,154,301,62,0.978,0,0,0,-
8,서건창,넥센,2루수,122,120,1008 2/3,12,0,254,329,73,0.980,0,0,0,-
8,박경수,KT,2루수,122,119,950,6,0,243,312,78,0.989,0,0,0,-
10,최정,SK,3루수,117,116,936 2/3,6,0,77,213,20,0.980,0,0,0,-
11,이대호,롯데,1루수,116,114,935 2/3,8,0,898,59,92,0.992,0,0,0,-
12,오재원,두산,2루수,113,82,766 2/3,6,0,204,214,63,0.986,0,0,0,-
13,이범호,KIA,3루수,111,105,867 2/3,13,0,57,179,24,0.948,0,0,0,-
